target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,Bu ürün nedir?,"Q²M DeFrost, anında çalışan bir araç camı buz çözücüdür.",What is it?,Q²M DeFrost is a instant car window de-icer.,https://gyeon.zendesk.com/hc/en-us/articles/18579696651420-What-is-it,18579696651420
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,Bu ürün nedir?,"Q²M Glass+, hidrofobik bir cam temizleyicidir.",What is it?,Q²M Glass+ is a hydrophobic glass cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/18579459272348-What-is-it,18579459272348
_BRAND:gyeon:q2m_general,Q²M Scents,Q²M Collection,Bu ürün nedir?,"Q²M Scents, popüler ürünlerimizin en tanınan kokularından oluşturulmuş bir iç mekan kokusudur.",What is it?,Q²M Scents is an interior fragrance created from the most recognisable scents of our popular products.,https://gyeon.zendesk.com/hc/en-us/articles/18566390647452-What-is-it,18566390647452
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,Bu ürün nedir?,"Q²M ECOWash, konsantre bir susuz ve durulamasız yıkama; aynı zamanda kaygan ve parlak bir kurulama yardımcısıdır.",What is it?,"Q²M ECOWash is a concentrated waterless and rinseless wash, as well as a slick and glossy drying aid.",https://gyeon.zendesk.com/hc/en-us/articles/18565208160540-What-is-it,18565208160540
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,Bu ürün nedir?,Q²M TotalRemover bir kaplama ve sealant sökücüsüdür. Araçların dış yüzeylerinden hasara yol açmadan her şeyi söker.,What is it?,Q²M TotalRemover is a coating and sealant remover. It removes everything from the external surfaces of vehicles without harming them.,https://gyeon.zendesk.com/hc/en-us/articles/18564392265372-What-is-it,18564392265372
Q2M-CDYA1000M,Q²M CeramicDetailer,Q²M Collection,Bu ürün nedir?,"Q²M CeramicDetailer, seramik kaplı araçlar için kaygan ve parlak bir detayer'dır.",What is it?,Q²M CeramicDetailer is a slick and glossy detailer for ceramic-coated car.,https://gyeon.zendesk.com/hc/en-us/articles/18563903459868-What-is-it,18563903459868
Q2M-FCNA1000M,Q²M FabricCleaner,Q²M Collection,Bu ürün nedir?,"Q²M FabricCleaner, etkili ama güvenli bir tekstil temizleyicisidir.",What is it?,Q²M FabricCleaner is effective yet safe textile cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/5743401921553-What-is-it,5743401921553
Q2M-APYA4000M,Q²M APC,Q²M Collection,Bu ürün nedir?,"Q²M APC, konsantre, seyreltilebilir, güçlü çok yüzeyli bir temizleyicidir.",What is it?,"Q²M APC is a concentrated, dilutable, strong multi-surface cleaner.",https://gyeon.zendesk.com/hc/en-us/articles/5742710573457-What-is-it,5742710573457
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M Iron WheelCleaner REDEFINED, özel bir jant temizleyici ve metal kontaminasyon sökücüsüdür.",What is it?,Q²M Iron WheelCleaner REDEFINED is a dedicated wheels cleaner & metal contamination remover.,https://gyeon.zendesk.com/hc/en-us/articles/5741262516497-What-is-it,5741262516497
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,Bu ürün nedir?,"Q²M RestartWash, kil çubuğu kullanmadan herhangi bir otomotiv film ve boyadan hafif demir kalıntılarını çözebilen etkili bir dekontaminasyon şampuanıdır.",What is it?,Q²M RestartWash is an effective decontamination shampoo that can dissolve mild iron deposit from any automotive film & paint without the need to clay.,https://gyeon.zendesk.com/hc/en-us/articles/5740924131857-What-is-it,5740924131857
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,Bu ürün nedir?,"Q²M PPF Wash, kil çubuğu kullanmadan herhangi bir otomotiv film ve boyadan hafif demir kalıntılarını çözebilen etkili bir dekontaminasyon şampuanıdır.",What is it?,Q²M PPF Wash is an effective decontamination shampoo that can dissolve mild iron deposit from any automotive film & paint without the need to clay.,https://gyeon.zendesk.com/hc/en-us/articles/360004018177-What-is-it,360004018177
Q2M-PPFMR500M,Q²M PPF Maintain REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M PPF Maintain REDEFINED, parlak veya mat PPF ve vinil sargılar için tasarlanmış silika bazlı bir sprey sealant'tır.",What is it?,Q²M PPF Maintain REDEFINED is a silica-based spray sealant designed for PPF and vinyl wraps both glossy or matte.,https://gyeon.zendesk.com/hc/en-us/articles/360003986158-What-is-it,360003986158
Q2M-TWYA500M,Q²M TowelWash,Q²M Collection,Bu ürün nedir?,"Q²M TowelWash, mikrofiber deterjandır.",What is it ?,Q²M Towelwash is a microfibre detergent.,https://gyeon.zendesk.com/hc/en-us/articles/360000983257-What-is-it,360000983257
Q2M-PRYA250M,Q²M Preserve,Q²M Collection,Bu ürün nedir?,"Q²M Preserve, iç plastik bakım/onarıcısıdır.",What is it ?,Q²M Preserve is an interior plastic conditioner/restorer.,https://gyeon.zendesk.com/hc/en-us/articles/360000992338-What-is-it,360000992338
_BRAND:gyeon:q2m_general,Q²M Glass,Q²M Collection,Bu ürün nedir?,"Q²M Glass, bir cam temizleyicidir.",What is it ?,Q²M Glass is a glass cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/360000982577-What-is-it,360000982577
Q2M-CRYA250M,Q²M Cure REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M Cure REDEFINED, parlak bitiş boyalar için tasarlanmış silika bazlı bir sprey sealant'tır.",What is it ?,Q²M Cure REDEFINED is a silica-based spray sealant designed for gloss finished paints.,https://gyeon.zendesk.com/hc/en-us/articles/360000991758-What-is-it,360000991758
Q2M-CMR500M,Q²M Cure Matte REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M Cure Matte REDEFINED, mat bitiş boyalar için tasarlanmış silika bazlı bir sprey sealant'tır.",What is it ?,Q²M Cure Matte REDEFINED is a silica-based spray sealant designed for matte finished paints.,https://gyeon.zendesk.com/hc/en-us/articles/360000991458-What-is-it,360000991458
_BRAND:gyeon:q2m_general,Q²M WetCoat Essence,Q²M Collection,Bu ürün nedir?,"Q²M WetCoat Essence, konsantre, anlık hidrofobiklik artırıcısıdır. Koruyucu bir kaplama değildir; güçlü bir itici ve self-cleaning ajan olarak değerlendirilmelidir.",What is it ?,"Q²M WetCoat Essence is a concentrated, instant hydrophobicity booster. It's not a protective coating and shall be considered as a strong repelling and self-cleaning agent.",https://gyeon.zendesk.com/hc/en-us/articles/360000981797-What-is-it,360000981797
Q2M-WCYA4000M,Q²M WetCoat,Q²M Collection,Bu ürün nedir?,"Q²M WetCoat, anlık hidrofobik artırıcı sealant'tır. Koruyucu bir kaplama değildir; güçlü bir itici ve self-cleaning ajan olarak değerlendirilmelidir.",What is it ?,Q²M WetCoat is an instant hydrophobic booster sealant. It's not a protective coating and shall be considered as a strong repelling and self-cleaning agent.,https://gyeon.zendesk.com/hc/en-us/articles/360000991238-What-is-it,360000991238
Q2M-PO1000M,Q²M Polish,Q²M Collection,Bu ürün nedir?,"Q²M Polish, hafif çizikleri gidermek ve berrak bir bitiş hedeflemek için orta kesimli bir pastadır.",What is it ?,"Q²M Polish is a medium cut paste, allowing the removal of light scratches and aiming for a clear finish.",https://gyeon.zendesk.com/hc/en-us/articles/360000981397-What-is-it,360000981397
Q2M-CM1000M,Q²M Compound,Q²M Collection,Bu ürün nedir?,"Q²M Compound, svirl ve orta dereceli çizikleri gidermek için yüksek kesimli bir pasta — mükemmel bir tek aşamalı.",What is it ?,"Q²M Compound is a high cut paste, allowing the removal of swirls and moderate scratches - the perfect one step.",https://gyeon.zendesk.com/hc/en-us/articles/360000990818-What-is-it,360000990818
Q2M-CMPR1000M,Q²M Compound+ REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M Compound+ REDEFINED, derin çizikleri veya zımpara izlerini gidermek için ağır kesim pastasıdır.",What is it ?,"Q²M Compound+ REDEFINED is a heavy cutting paste, allowing the removal of deep scratches or sanding marks.",https://gyeon.zendesk.com/hc/en-us/articles/360000989578-What-is-it,360000989578
Q2M-PYA4000M,Q²M Prep,Q²M Collection,Bu ürün nedir?,"Q²M Prep, kaplama uygulamasından önce yüzey yağ alıcısıdır.",What is it ?,Q²M Prep is a surface degreaser prior coating application.,https://gyeon.zendesk.com/hc/en-us/articles/360000961977-What-is-it,360000961977
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,Bu ürün nedir?,"Q²M Bathe+, dünyanın SiO² içeren ilk pH nötr şampuanıdır; bu da onu aracınız için gerçek bir hidrofobiklik artırıcısı yapar.",What is it ?,Q²M Bathe+ is the world’s first pH neutral shampoo containing SiO₂ making it really hydrophobic booster for your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/360000961877-What-is-it,360000961877
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,Bu ürün nedir?,"Q²M Bathe, pH nötr bir araç şampuanıdır.",What is it ?,Q²M Bathe is a Ph. neutral car shampoo.,https://gyeon.zendesk.com/hc/en-us/articles/360000961377-What-is-it,360000961377
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M Tar REDEFINED zift, yapıştırıcı ve ağaç sakızını söker.",What is it ?,"Q²M Tar REDEFINED removes tar, glue and tree sap.",https://gyeon.zendesk.com/hc/en-us/articles/360000961197-What-is-it,360000961197
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,Bu ürün nedir?,Q²M Iron REDEFINED bir metal kontaminasyon sökücüsüdür.,What is it ?,Q²M Iron REDEFINED is a metal contamination remover.,https://gyeon.zendesk.com/hc/en-us/articles/360000972258-What-is-it,360000972258
Q2M-CLR500M,Q²M ClayLube REDEFINED,Q²M Collection,Bu ürün nedir?,"Q²M ClayLube REDEFINED, herhangi bir kil kullanımı sırasında kayganlık sağlayan bir kaydırıcıdır.",What is it ?,Q²M ClayLube REDEFINED is a lubricant providing slickness during the use of any clay.,https://gyeon.zendesk.com/hc/en-us/articles/360000960837-What-is-it,360000960837
_BRAND:gyeon:q2m_general,Q²M ClayBars,Q²M Collection,Bu ürün nedir?,"Q²M ClayBar zift, organik tortular ve endüstriyel kalıntı veya overspray gibi ağır kontaminasyonu çıkarmak için tasarlanmıştır.",What is it ?,"Q²M ClayBar is designed to remove heavy contamination like tar, organic sediments and industrial fallout or overspray.",https://gyeon.zendesk.com/hc/en-us/articles/360000972038-What-is-it,360000972038
Q2M-WSYA1000M,Q²M WaterSpot,Q²M Collection,Bu ürün nedir?,"Q²M WaterSpot, sudan kaynaklanan defektleri gidericidir.",What is it ?,Q²M WaterSpot is a defect remover caused by water.,https://gyeon.zendesk.com/hc/en-us/articles/360000959837-What-is-it,360000959837
Q2M-BGYA1000M,Q²M Bug & Grime,Q²M Collection,Bu ürün nedir?,"Q²M Bug&Grime, etkili bir böcek ve sert birikim grime sökücüsüdür.",What is it ?,Q²M Bug&Grime is an effective insect & hard deposit grime remover.,https://gyeon.zendesk.com/hc/en-us/articles/360000959737-What-is-it,360000959737
Q2M-FYA4000M,Q²M Foam,Q²M Collection,Bu ürün nedir?,"Q²M Foam, etkili bir ön yıkama solüsyonudur.",What is it ?,Q²M Foam is an effective pre-wash solution.,https://gyeon.zendesk.com/hc/en-us/articles/360000959597-What-is-it,360000959597
Q2M-QDYA1000M,Q²M QuickDetailer,Q²M Collection,Bu ürün nedir?,"Q²M Quick Detailer, aracınızın tüm boyalı yüzeylerinde kolay ve zahmetsiz bir parlaklık spreyi geliştirmesidir.",What is it ?,Q²M Quick Detailer is an easy and effortless gloss spray enhancement on all painted surfaces of your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/360000959377-What-is-it,360000959377
_BRAND:gyeon:q2m_general,Q²M MetalPolish,Q²M Collection,Bu ürün nedir?,"Q²M MetalPolish, iyi bir kesim ve parlak bir bitişle nihai metal cilasıdır.",What is it ?,Q²M MetalPolish is the ultimate metal polish with a decent cut and a glossy finish.,https://gyeon.zendesk.com/hc/en-us/articles/360000945858-What-is-it,360000945858
Q2M-LCN1000M,Q²M LeatherCleaner Natural,Q²M Collection,Bu ürün nedir?,"Q²M LeatherCleaner Natural, etkili ve yumuşak bir kaplama öncesi deri temizleyicisidir.",What is it ?,Q²M LeatherCleaner Natural is an efficient and soft pre-coating leather cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/360000945538-What-is-it,360000945538
Q2M-LCSYA1000M,Q²M LeatherCleaner Strong,Q²M Collection,Bu ürün nedir?,"Q²M LeatherCleaner Strong, etkili ve verimli bir kaplama öncesi deri temizleyicisidir.",What is it ?,Q²M LeatherCleaner Strong is an efficient and effective pre-coating leather cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/360000934377-What-is-it,360000934377
Q2M-LSN200M,Q²M Leather Set Natural,Q²M Collection,Bu ürün nedir?,"Q²M Leather Set Natural, güçlü bir kaplama öncesi deri temizleyici olan Q²M LeatherCleaner Natural ile ideal deri bakım ve koruma çözümü için Q² LeatherCoat REDEFINED'i bir araya getiren komple bir çözümdür. Set, gerekli tüm aksesuarları içerir — Q²M ScrubPad, Q²M MF Applicator ve kaliteli bir mikrofiber.",What is it ?,"Q²M Leather Set Natural is a complete solution combining Q²M LeatherCleaner Natural - a powerful pre-coating leather cleaner and Q² LeatherCoat REDEFINED to achieve the ideal leather maintenance & protection solution. The set comes with all necessary accessories - Q²M ScrubPad, Q²M MF Applicator and a quality microfibre.",https://gyeon.zendesk.com/hc/en-us/articles/360000943058-What-is-it,360000943058
Q2M-LSSYA200M,Q²M Leather Set Strong,Q²M Collection,Bu ürün nedir?,"Q²M Leather Set Strong, güçlü bir kaplama öncesi deri temizleyici olan Q²M LeatherCleaner Strong ile ideal deri bakım ve koruma çözümü için Q² LeatherCoat REDEFINED'i bir araya getiren komple bir çözümdür. Set, gerekli tüm aksesuarları içerir — Q²M ScrubPad, Q²M MF Applicator ve kaliteli bir mikrofiber.",What is it ?,"Q²M Leather Set Strong is a complete solution combining Q²M LeatherCleaner Strong - a powerful pre-coating leather cleaner and Q² LeatherCoat REDEFINED to achieve the ideal leather maintenance & protection solution. The set comes with all necessary accessories - Q²M ScrubPad, Q²M MF Applicator and a quality microfibre.",https://gyeon.zendesk.com/hc/en-us/articles/360000934217-What-is-it,360000934217
Q2M-TEYA1000M,Q²M Tire Express,Q²M Collection,Bu ürün nedir?,"Q²M TireExpress, 'fabrika' tazeliği görünümü ve koruma sağlayan, kolay uygulanan bir lastik dressing'idir.",What is it ?,"Q²M TireExpress is an easy to apply tire dressing, providing a ""factory"" fresh look and protection.",https://gyeon.zendesk.com/hc/en-us/articles/360000934037-What-is-it,360000934037
Q2M-TCYA1000M,Q²M Tire Cleaner,Q²M Collection,Bu ürün nedir?,"Q²M TireCleaner, kir, toz ve eski dressing'leri çıkaran nihai lastik ve kauçuk temizleyicidir.",What is it ?,"Q²M TireCleaner is the ultimate tire and rubber cleaner, removing dirt, dust and old dressings.",https://gyeon.zendesk.com/hc/en-us/articles/360000933837-What-is-it,360000933837
Q2M-PPR1000M,Q²M PPF Renew,Q²M Collection,Bu ürün nedir?,"Q²M PPF Renew, piyasada yalnızca PPF için tasarlanmış tek bakım ve koruma çözümüdür.",What is it ?,Q²M PPF Renew is the only maintenance and protection solution on the market designed exclusively for PPF.,https://gyeon.zendesk.com/hc/en-us/articles/360000933657-What-is-it,360000933657
_BRAND:gyeon:q2m_general,General Product Question,Q²M Collection,"Ürünüm ayrıştı, ne yapmalıyım?",İyice çalkalayın ve homojen olup olmadığını görün. Olmadıysa lütfen ürünün fotoğrafları ve satın alma belgesi ile bayinizle iletişime geçin.,"My product separated, what to do?","Shake it well and see if it becomes uniform. If not, please contact your reseller providing pictures of the product along with proof of purchase.",https://gyeon.zendesk.com/hc/en-us/articles/360000941918-My-product-separated-what-to-do,360000941918
_BRAND:gyeon:q2m_general,General Product Question,Q²M Collection,Ürünlerinizin raf ömrü nedir?,Q²M ürün serimiz için toplam raf ömrünü 24 ay olarak belirtiyoruz. Ürünlerin tüm en son partilerinin üretim tarihi şişenin üzerine basılmıştır.,What is the shelf life of your products?,"For our Q²M product line, we state a total shelf-life of 24 months. All latest batches of product have a production date printed on the bottle.",https://gyeon.zendesk.com/hc/en-us/articles/360000933437-What-is-the-shelf-life-of-your-products,360000933437
_BRAND:gyeon:q2m_general,General Product Question,Q²M Collection,Ürünüm kırık — ne yapmalıyım?,"Ürününüz nakliye veya depolama sırasında kırıldıysa lütfen bayinizle iletişime geçin ve ne olduğunu kısaca açıklayan bir not ile fotoğrafları gönderin. Bu, talebinizin en kısa sürede işleme alınmasını sağlar.",My product is broken - what should I do?,"If your product broke during transportation or in storage, please contact your reseller and provide a short description of what happened backed up with pictures. This will allow processing your request as soon as possible.",https://gyeon.zendesk.com/hc/en-us/articles/360000933417-My-product-is-broken-what-should-I-do,360000933417
Q2M-PPFSL4000M,Q²M PPF Slip,Q²M Collection,Nereye uygulanır?,PPF folyo uygulanacak aracın her bölgesine.,Where to apply?,For each area of the car where the PPF foil will be applied.,https://gyeon.zendesk.com/hc/en-us/articles/18583668309276-Where-to-apply,18583668309276
Q2M-GP250M,Q²M GlassPolish,Q²M Collection,Nereye uygulanır?,Q²M GlassPolish her tür otomotiv camı için uygundur.,Where to apply?,Q²M GlassPolish is suitable for all types of automotive glass.,https://gyeon.zendesk.com/hc/en-us/articles/18582068100380-Where-to-apply,18582068100380
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,Nereye uygulanır?,Q²M DeFrost'u tüm araç cam yüzeylerine ve çevresindeki trimlere uygulayabilirsiniz.,Where to apply?,You can apply Q²M DeFrost to all car glass surfaces and surrounding trim.,https://gyeon.zendesk.com/hc/en-us/articles/18579733801756-Where-to-apply,18579733801756
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,Nereye uygulanır?,"Bu solüsyon aracınızın tüm cam yüzeylerine, hem iç hem dış, uygulanmak üzere tasarlanmıştır. Pleksiglas, polikarbonat elemanlar ile LCD ekranlar ve monitörlerde de kullanılabilir.",Where to apply?,"This solution is designed to be applied to all glass surfaces of your vehicle, both interior and exterior. It can also be used on Plexiglass, polycarbonate elements, as well as LCD screens and monitors.",https://gyeon.zendesk.com/hc/en-us/articles/18579478020252-Where-to-apply,18579478020252
_BRAND:gyeon:q2m_general,Q²M Scents,Q²M Collection,Nasıl kullanılır?,"Birlikte gelen askılara sıkın. Doğrudan paspaslara da sıkılarak kullanılabilir.
Aşırı kullanmayın. Bir sıkım yeterlidir.",How to use it?,"Spray onto the included hangers. Can also be used by spraying them directly onto the floor mats.
Do not over use it. One spray is enough.",https://gyeon.zendesk.com/hc/en-us/articles/18566371521820-How-to-use-it,18566371521820
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,Nereye uygulanır?,"Bu ürün aracınızın boya, cam, trim ve hatta jantlarında kullanılabilir.",Where to apply?,"This product can be used on paint, glass, trim, and even wheels of your vehicle.",https://gyeon.zendesk.com/hc/en-us/articles/18565212635164-Where-to-apply,18565212635164
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,Nereye uygulanır?,"Q²M TotalRemover aracınızın dış yüzeylerine, özellikle yüzey koruma eklenecek olan yerlere uygulanmalıdır. Yeni bir kaplama uygulamadan önce ideal bir üründür — eski katmanları, fabrika wax'larını söküyor veya mat boya gibi cilalanamayan bitişleri hazırlıyor olun.",Where to apply?,"Q2M TotalRemover should be applied to the exterior surfaces of your car, especially where surface protection will be added. It's ideal for use before applying a new coating—whether you're removing old layers, factory waxes, or prepping non-polishable finishes like matte paint.",https://gyeon.zendesk.com/hc/en-us/articles/18564397796764-Where-to-apply,18564397796764
Q2M-CDYA1000M,Q²M CeramicDetailer,Q²M Collection,Nasıl uygulanır?,"Q²M CeramicDetailer'ı uzun tüylü bir mikrofiber havluya bolca sıkın. Ürünü temiz bir yüzeye, panel başına 3-4 sıkımla silin. Mükemmel bir bitiş için havlunun kısa tüylü tarafını kullanarak silin.",How to apply?,"Spray Q²M CeramicDetailer liberally onto a long-nap microfiber towel. Wipe the product onto a clean surface, using 3 to 4 sprays per panel. For a perfect finish, use the short-nap side of your towel to buff it out.",https://gyeon.zendesk.com/hc/en-us/articles/18563941227036-How-to-apply,18563941227036
Q2M-FCNA1000M,Q²M FabricCleaner,Q²M Collection,Nereye uygulanır?,Bu solüsyon aracınızdaki tekstillere uygulanmak üzere tasarlanmıştır.,Where to apply?,This solution is designed to be applied on textile present in your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/5743488567569-Where-to-apply,5743488567569
Q2M-APYA4000M,Q²M APC,Q²M Collection,Nereye uygulanır?,"Ürün dış yüzeylerde — boya, motor bölmesi, jantlar — 1:5 seyreltme ile veya iç mekanda plastik, deri, döşeme temizliği için 1:15 seyreltme ile kullanılabilir.",Where to apply?,"The product can be used on exterior surface like paint, engine bay, wheels at a dilution from 1:05, or on the inside of your car to clean plastic, leather, upholstery at a dilution from 1:15.",https://gyeon.zendesk.com/hc/en-us/articles/5742787206673-Where-to-apply,5742787206673
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,Nereye uygulanır?,Bu ürün aracınızın kontamine olmuş jantlarına uygulanmak üzere tasarlanmıştır.,Where to apply?,This product is designed to be applied over contaminated wheels of your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/5741311528081-Where-to-apply,5741311528081
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,Nereye uygulanır?,"Bu ürün, yıkama kovasında seyreltilerek aracınızın dış kısımlarına yayılmak üzere tasarlanmıştır.",Where to apply?,This product is designed to be diluted in a wash bucket and spread over any exterior parts of your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/5741066334737-Where-to-apply,5741066334737
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,Nereye uygulanır?,"Bu ürün, yıkama kovasında seyreltilerek aracınızın dış kısımlarına yayılmak üzere tasarlanmıştır.",Where to apply?,This product is designed to be diluted in a wash bucket and spread over any exterior parts of your vehicle.,https://gyeon.zendesk.com/hc/en-us/articles/360004018517-Where-to-apply,360004018517
Q2M-PPFMR500M,Q²M PPF Maintain REDEFINED,Q²M Collection,Nereye uygulanır?,"Bu solüsyon, PPF veya vinil sargı ile korunan her yüzeye uygulanmak üzere tasarlanmıştır.",Where to apply?,This solution is designed to be applied on every surface protected with PPF or vinyl wrap.,https://gyeon.zendesk.com/hc/en-us/articles/360004017857-Where-to-apply,360004017857
Q2M-TWYA500M,Q²M TowelWash,Q²M Collection,Nasıl kullanılır?,Yıkama başına çamaşır makinesine 30 ml dökün.,How to use it ?,Pour 30ml per wash into your washing machine.,https://gyeon.zendesk.com/hc/en-us/articles/360000992498-How-to-use-it,360000992498
Q2M-PRYA250M,Q²M Preserve,Q²M Collection,Nereye uygulanır?,"Bu solüsyon iç mekan, motor bölmesi ve çamurluk içlerindeki her plastik yüzeye uygulanmak üzere tasarlanmıştır.",Where to apply ?,"This solution is designed to be applied on every plastic surface of your interior, engine bay and wheel wells.",https://gyeon.zendesk.com/hc/en-us/articles/360000992438-Where-to-apply,360000992438
