target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
Q2M-CM1000M,Q²M Compound,Q²M Collection,Polisaj kalıntısı nasıl çıkarılır?,Q²M Baldwipe/Polishwipe ve Q²M Prep ya da güvenli IPA seyreltisi sıkımı yardımıyla.,How to remove polishing residue? ,With aid of Q²M Baldwipe/Polishwipe and a spray of Q²M Prep or a safe dilution of IPA.,https://gyeon.zendesk.com/hc/en-us/articles/360000981377-How-to-remove-polishing-residue,360000981377
Q2M-CMPR1000M,Q²M Compound+ REDEFINED,Q²M Collection,Polisaj kalıntısı nasıl çıkarılır?,Q²M Baldwipe EVO/Polishwipe EVO ve Q²M Prep ya da güvenli IPA seyreltisi sıkımı yardımıyla.,How to remove polishing residue?,With aid of Q²M Baldwipe EVO /Polishwipe EVO and a spray of Q²M Prep or a safe dilution of IPA.,https://gyeon.zendesk.com/hc/en-us/articles/360000989678-How-to-remove-polishing-residue,360000989678
Q2M-PYA4000M,Q²M Prep,Q²M Collection,Q²M Prep boyama veya kaplamama zarar verir/değiştirir mi?,"Hayır, ancak alkol içeriği nedeniyle ürünün yüzeyde kurumasına izin vermemenizi öneririz.",Will Q²M Prep will damage/alter my paint work or coating ?,"No, however, due to its alcohol composition we recommend to not let it dry onto the surface.",https://gyeon.zendesk.com/hc/en-us/articles/360000962177-Will-Q-M-Prep-will-damage-alter-my-paint-work-or-coating,360000962177
Q2M-BPYA1000M,Q²M Bathe+,Q²M Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Pompayı kapalı konumda sabitleyin. Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 3 yıldır.",How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000972698-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000972698
Q2M-BYA4000M,Q²M Bathe,Q²M Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,"Pompayı kapalı konumda sabitleyin. Kuru, karanlık ve serin bir yerde saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 3 yıldır.",How to store the product after use? What is the shelf life once opened?,"Secure the dispenser in the closed position. Store it in a dry, dark, and cool place. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000961437-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000961437
Q2M-TR4000M,Q²M Tar REDEFINED,Q²M Collection,Q²M Tar REDEFINED boyama veya kaplamama zarar verir/değiştirir mi?,Ürünün kurumamasını şiddetle öneririz.,Will Q²M Tar REDEFINED will damage/alter my paint work or coating ?,We strongly recommend to not let the product dry out.,https://gyeon.zendesk.com/hc/en-us/articles/360000961277-Will-Q-M-Tar-REDEFINED-will-damage-alter-my-paint-work-or-coating,360000961277
Q2M-IR4000M,Q²M Iron REDEFINED,Q²M Collection,Q²M Iron REDEFINED sıktım ama mor renk görmüyorum — neden?,Aracınızda metal kontaminasyon yoksa solüsyon tepki vermez ve mor renge dönmez.,I sprayed Q²M Iron REDEFINED but I don’t see purple colour - Why ?,If there is no metal contamination present on your vehicle the solution will not react and turn purple.,https://gyeon.zendesk.com/hc/en-us/articles/360000961177-I-sprayed-Q-M-Iron-REDEFINED-but-I-don-t-see-purple-colour-Why,360000961177
_BRAND:gyeon:q2m_general,Q²M ClayBars,Q²M Collection,Açıldıktan sonra ürün nasıl saklanır? Raf ömrü ne kadardır?,Ürünü orijinal kabında sabitleyin — 15-30 °C arası sıcaklıkta karanlık ve kuru bir alanda saklayın. Lütfen donmasına izin vermeyin ve güneş ışığına maruz bırakmayın. Açıldıktan sonra 'kullanılabilir' raf ömrü 3 yıldır.,How to store the product after use? What is the shelf life once opened?,"Secure product in its original container - store in dark and dry area with a temperature between 15 - 30 degrees Celsius. Please do not allow it to freeze or expose it to sunlight. Once opened, it has a ""good-to-use"" shelf life of 3 years.",https://gyeon.zendesk.com/hc/en-us/articles/360000972078-How-to-store-the-product-after-use-What-is-the-shelf-life-once-opened,360000972078
Q2M-WSYA1000M,Q²M WaterSpot,Q²M Collection,Q²M WaterSpot'u durulamaktan sonra aracımda hâlâ defekt var — neden?,Bazı kontaminasyonlar optimum sonuç için birden fazla uygulama gerektirir.,After rinsing Q²M WaterSpot my car has still defect on it - Why ?,Some contamination will require multiple applications for optimum result.,https://gyeon.zendesk.com/hc/en-us/articles/360000971778-After-rinsing-Q-M-WaterSpot-my-car-has-still-defect-on-it-Why,360000971778
Q2M-BGYA1000M,Q²M Bug & Grime,Q²M Collection,Q²M Bug&Grime'ı durulamaktan sonra aracımda hâlâ böcek var — neden?,Bazı kontaminasyonlar optimum sonuç için birden fazla uygulama gerektirir.,After rinsing Q²M Bug&Grime my car has still bugs on it - Why ?,Some contamination will require multiple applications for optimum results.,https://gyeon.zendesk.com/hc/en-us/articles/360000959817-After-rinsing-Q-M-Bug-Grime-my-car-has-still-bugs-on-it-Why,360000959817
