target_sku,section_name,category_name,question_tr,answer_tr,question_en,answer_en,url,article_id
Q2-PPFE50M,Q² PPF EVO,Q² Collection,Ne kadar dayanır?,Q² PPF EVO 12 aya kadar dayanır.,How long will it last?,Q² PPF EVO last up to 12 months.,https://gyeon.zendesk.com/hc/en-us/articles/360004004317-How-long-will-it-last,360004004317
Q2-TYA500M,Q² Tire,Q² Collection,Birden fazla kat uygulayabilir miyim?,Evet.,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000933317-Can-I-apply-multiple-layers,360000933317
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,Birden fazla kat uygulayabilir miyim?,Evet.,Can I apply multiple layers?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360000933017-Can-I-apply-multiple-layers,360000933017
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Birden fazla kat uygulayabilir miyim?,Evet.,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000941258-Can-I-apply-multiple-layers,360000941258
Q2-AF120M,Q² AntiFog,Q² Collection,Birden fazla kat uygulayabilir miyim?,Hayır.,Can I apply multiple layers? ,No,https://gyeon.zendesk.com/hc/en-us/articles/360000941058-Can-I-apply-multiple-layers,360000941058
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Birden fazla kat uygulayabilir miyim?,Evet.,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000931697-Can-I-apply-multiple-layers,360000931697
Q2-VE20M,Q² View EVO,Q² Collection,Ne kadar dayanır?,Q² View EVO 24 ay / 50.000 km'ye kadar dayanır.,How long will it last ?,Q² View EVO last up to 24 months/50k km,https://gyeon.zendesk.com/hc/en-us/articles/360000931257-How-long-will-it-last,360000931257
Q2-TRE30M,Q² Trim EVO,Q² Collection,Birden fazla kat uygulayabilir miyim?,Evet.,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000932938-Can-I-apply-multiple-layers,360000932938
Q2-RE30M,Q² Rim EVO,Q² Collection,Çıkarılabilir mi?,Evet — çıkarmak için kesim pastası ve uygun bir ped ile mekanik cilalama gerekir.,Can it be removed?,Yes - removal will require mechanical polishing with a compound and appropriate polishing pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000922757-Can-it-be-removed,360000922757
Q2-PR1000M,Q² Primer,Q² Collection,Doğru uygulanmazsa zarar verir mi?,"Hayır, polisaj makinesi kullanımının temel kurallarına dikkat edin.",Will it damage if not applied properly ?,"No, please mind basic rules of polishing machine usage.",https://gyeon.zendesk.com/hc/en-us/articles/360000931238-Will-it-damage-if-not-applied-properly,360000931238
