target_sku,section_name,category_name,question_en,answer_en,url,article_id
Q2-BS30M,Q² Booster,Q² Collection,How to maintain a vehicle coated with that product ?,We recommend the use of Q²M Bathe+ and Q²M Wetcoat during your normal wash routine. The coating is designed to resist chemicals ph. within 2 to 11.,https://gyeon.zendesk.com/hc/en-us/articles/360000920597-How-to-maintain-a-vehicle-coated-with-that-product,360000920597
Q2-SLE50M,Q² Syncro EVO,Q² Collection,Can it be used as a top coating ?,"No, it is a stand-alone coating system.",https://gyeon.zendesk.com/hc/en-us/articles/360000921738-Can-it-be-used-as-a-top-coating,360000921738
Q2-MLE100M,Q² Mohs EVO,Q² Collection,I can see high spots - why (and what to do) ?,"Right after the application, multiple wipes with Q²M Prep & Q²M Polishwipe might help. On the next day, you will have to use a machine polisher.",https://gyeon.zendesk.com/hc/en-us/articles/360000921218-I-can-see-high-spots-why-and-what-to-do,360000921218
Q2-MTEL50M,Q² Matte EVO,Q² Collection,Can I top it off with additional coating/wax/sealant?,Yes - we recommend the use of Q²M Matte.,https://gyeon.zendesk.com/hc/en-us/articles/360000906518-Can-I-top-it-off-with-additional-coating-wax-sealant,360000906518
Q2-PLE50M,Q² Pure EVO,Q² Collection,After application my paint doesn't feel slick - why ?,It is a natural thing for ceramic coatings. A wipe with Q²M Cure will solve this issue.,https://gyeon.zendesk.com/hc/en-us/articles/360000904378-After-application-my-paint-doesn-t-feel-slick-why,360000904378
Q2-OLE100M,Q² One EVO,Q² Collection,Can I top it off with additional coating/wax/sealant?,"Yes, we recommend Q² CanCoat EVO or Q² Wax as a top-up product.",https://gyeon.zendesk.com/hc/en-us/articles/360000895417-Can-I-top-it-off-with-additional-coating-wax-sealant,360000895417
_BRAND:gyeon:q2_general,Q² CanCoat Pro EVO,Q² Collection,Will it prevent water marks or bird droppings damaging paint ?,"Nothing can entirely prevent water marks. They can happen on bare, waxed and coated paint as well. Bird residue is one of the harshest and most damaging substance known. A coating will provide you with the time necessary to remove the contamination without etching. However, once you leave it on a hot summer day for many hours, not even a coating will prevent damage entirely.",https://gyeon.zendesk.com/hc/en-us/articles/360000902118-Will-it-prevent-water-marks-or-bird-droppings-damaging-paint,360000902118
Q2-CCE200M,Q² CanCoat EVO,Q² Collection,Can it be applied on a wet surface ?,"No, only on well prepared, decontaminated and degreased with Q²M Prep surfaces or on top of another ceramic coating.",https://gyeon.zendesk.com/hc/en-us/articles/360000901498-Can-it-be-applied-on-a-wet-surface,360000901498
Q2-QV120M,Q² QuickView,Q² Collection,How to maintain a vehicle coated with that product ?,We recommend the use of any Gyeon shampoo during your normal wash routine and periodical cleaning with Q²M Glass.,https://gyeon.zendesk.com/hc/en-us/articles/360015761557-How-to-maintain-a-vehicle-coated-with-that-product,360015761557
Q2-W175G,Q² Wax,Q² Collection,Will it prevent water marks or bird droppings damaging paint ?,"Nothing can entirely prevent water marks. They can happen on bare, waxed and coated paint as well. Bird residue is one of the harshest and most damaging substance known. A coating will provide you with the time necessary to remove the contamination without etching. However, once you leave it on a hot summer day for many hours, not even a coating will prevent damage entirely.",https://gyeon.zendesk.com/hc/en-us/articles/360015822298-Will-it-prevent-water-marks-or-bird-droppings-damaging-paint,360015822298
Q2-PPFE50M,Q² PPF EVO,Q² Collection,How long does the product need to dry/cure ?,The product needs minimum 24h after application before being exposed to atmospherically impact and another 14 days with no detergent wash.,https://gyeon.zendesk.com/hc/en-us/articles/360004004677-How-long-does-the-product-need-to-dry-cure,360004004677
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Will it work on my shoes?,"Depending on the material used by the manufacturer it will work extremely well on shoes & various accessories - however, some non-car related textiles due to their chemical treatment might react differently and that must be experienced on your own risk.",https://gyeon.zendesk.com/hc/en-us/articles/360002276598-Will-it-work-on-my-shoes,360002276598
