target_sku,section_name,category_name,question_en,answer_en,url,article_id
Q2-PPFE50M,Q² PPF EVO,Q² Collection,How long will it last?,Q² PPF EVO last up to 12 months.,https://gyeon.zendesk.com/hc/en-us/articles/360004004317-How-long-will-it-last,360004004317
Q2-TYA500M,Q² Tire,Q² Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000933317-Can-I-apply-multiple-layers,360000933317
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,Can I apply multiple layers?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360000933017-Can-I-apply-multiple-layers,360000933017
Q2-LSE50M,Q² LeatherShield EVO,Q² Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000941258-Can-I-apply-multiple-layers,360000941258
Q2-AF120M,Q² AntiFog,Q² Collection,Can I apply multiple layers? ,No,https://gyeon.zendesk.com/hc/en-us/articles/360000941058-Can-I-apply-multiple-layers,360000941058
Q2-FCNA400M,Q² FabricCoat,Q² Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000931697-Can-I-apply-multiple-layers,360000931697
Q2-VE20M,Q² View EVO,Q² Collection,How long will it last ?,Q² View EVO last up to 24 months/50k km,https://gyeon.zendesk.com/hc/en-us/articles/360000931257-How-long-will-it-last,360000931257
Q2-TRE30M,Q² Trim EVO,Q² Collection,Can I apply multiple layers? ,Yes,https://gyeon.zendesk.com/hc/en-us/articles/360000932938-Can-I-apply-multiple-layers,360000932938
Q2-RE30M,Q² Rim EVO,Q² Collection,Can it be removed?,Yes - removal will require mechanical polishing with a compound and appropriate polishing pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000922757-Can-it-be-removed,360000922757
Q2-PR1000M,Q² Primer,Q² Collection,Will it damage if not applied properly ?,"No, please mind basic rules of polishing machine usage.",https://gyeon.zendesk.com/hc/en-us/articles/360000931238-Will-it-damage-if-not-applied-properly,360000931238
Q2-BS30M,Q² Booster,Q² Collection,Can I apply multiple layers? ,No,https://gyeon.zendesk.com/hc/en-us/articles/360000930298-Can-I-apply-multiple-layers,360000930298
Q2-SLE50M,Q² Syncro EVO,Q² Collection,How to apply ?,Please refer to the instruction manual that you find included with the product or here: https://gyeonquartz.com/wp-content/uploads/2022/01/paint-coatings-manual.pdf,https://gyeon.zendesk.com/hc/en-us/articles/360000921458-How-to-apply,360000921458
Q2-MLE100M,Q² Mohs EVO,Q² Collection,How long will it last ?,Q² Mohs EVO last up to 36 MONTHS / 40KKM for 1 layer & 48 MONTHS / 50KKM for 2 layers.,https://gyeon.zendesk.com/hc/en-us/articles/360000900097-How-long-will-it-last,360000900097
Q2-MTEL50M,Q² Matte EVO,Q² Collection,Can I apply multiple layers? ,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360000899657-Can-I-apply-multiple-layers,360000899657
Q2-PLE50M,Q² Pure EVO,Q² Collection,How long will it last ?,Q² Pure EVO will last up to 36 months/40k km.,https://gyeon.zendesk.com/hc/en-us/articles/360000903558-How-long-will-it-last,360000903558
Q2-OLE100M,Q² One EVO,Q² Collection,Can it be removed?,Yes - removal will require mechanical polishing with a compound and appropriate polishing pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000902898-Can-it-be-removed,360000902898
_BRAND:gyeon:q2_general,Q² CanCoat Pro EVO,Q² Collection,Can I apply it on top of a wax? ,"No, every ceramic coating requires excellent surface preparation and degreasing prior to application.",https://gyeon.zendesk.com/hc/en-us/articles/360000894497-Can-I-apply-it-on-top-of-a-wax,360000894497
Q2-CCE200M,Q² CanCoat EVO,Q² Collection,Can it be removed?,Yes - removal will require mechanical polishing with a compound and appropriate polishing pad.,https://gyeon.zendesk.com/hc/en-us/articles/360000901618-Can-it-be-removed,360000901618
Q2-QV120M,Q² QuickView,Q² Collection,How long will it last?,Q² QuickView can last up to 6 months/30k km,https://gyeon.zendesk.com/hc/en-us/articles/360015823058-How-long-will-it-last,360015823058
Q2-W175G,Q² Wax,Q² Collection,Can I apply multiple layers?,Yes.,https://gyeon.zendesk.com/hc/en-us/articles/360015739837-Can-I-apply-multiple-layers,360015739837
_BRAND:gyeon:q2_general,Q² Flash EVO,Q² Collection,How to maintain a vehicle coated with that product?,We recommend the use of Q²M Bathe+ and Q²M WetCoat during your normal wash routine. The coating is designed to resist chemicals ph. within 2 to 11. For further advice please contact your Certified Detailer.,https://gyeon.zendesk.com/hc/en-us/articles/360004017637-How-to-maintain-a-vehicle-coated-with-that-product,360004017637
Q2-PPFE50M,Q² PPF EVO,Q² Collection,Can I apply multiple layers ?,"Yes, however, it is not required.",https://gyeon.zendesk.com/hc/en-us/articles/360004004417-Can-I-apply-multiple-layers,360004004417
Q2-TYA500M,Q² Tire,Q² Collection,Can it be removed?,"Yes, with the use of Q²M TireCleaner.",https://gyeon.zendesk.com/hc/en-us/articles/360000933357-Can-it-be-removed,360000933357
Q2-LCR500M,Q² LeatherCoat REDEFINED,Q² Collection,Can it be removed?,Yes. Multiple clean of the surface with dedidcated leather cleaner will diminish Q² LeatherCoat REDEFINED.,https://gyeon.zendesk.com/hc/en-us/articles/360000933117-Can-it-be-removed,360000933117
