target_sku,section_name,category_name,question_en,answer_en,url,article_id
_BRAND:gyeon:q2m_general,Q²M DeFrost,Q²M Collection,What is it?,Q²M DeFrost is a instant car window de-icer.,https://gyeon.zendesk.com/hc/en-us/articles/18579696651420-What-is-it,18579696651420
Q2M-GPYA1000M,Q²M Glass+,Q²M Collection,What is it?,Q²M Glass+ is a hydrophobic glass cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/18579459272348-What-is-it,18579459272348
_BRAND:gyeon:q2m_general,Q²M Scents,Q²M Collection,What is it?,Q²M Scents is an interior fragrance created from the most recognisable scents of our popular products.,https://gyeon.zendesk.com/hc/en-us/articles/18566390647452-What-is-it,18566390647452
Q2M-EW1000M,Q²M ECOWash,Q²M Collection,What is it?,"Q²M ECOWash is a concentrated waterless and rinseless wash, as well as a slick and glossy drying aid.",https://gyeon.zendesk.com/hc/en-us/articles/18565208160540-What-is-it,18565208160540
Q2M-TOTR1000M,Q²M TotalRemover,Q²M Collection,What is it?,Q²M TotalRemover is a coating and sealant remover. It removes everything from the external surfaces of vehicles without harming them.,https://gyeon.zendesk.com/hc/en-us/articles/18564392265372-What-is-it,18564392265372
Q2M-CDYA1000M,Q²M CeramicDetailer,Q²M Collection,What is it?,Q²M CeramicDetailer is a slick and glossy detailer for ceramic-coated car.,https://gyeon.zendesk.com/hc/en-us/articles/18563903459868-What-is-it,18563903459868
Q2M-FCNA1000M,Q²M FabricCleaner,Q²M Collection,What is it?,Q²M FabricCleaner is effective yet safe textile cleaner.,https://gyeon.zendesk.com/hc/en-us/articles/5743401921553-What-is-it,5743401921553
Q2M-APYA4000M,Q²M APC,Q²M Collection,What is it?,"Q²M APC is a concentrated, dilutable, strong multi-surface cleaner.",https://gyeon.zendesk.com/hc/en-us/articles/5742710573457-What-is-it,5742710573457
Q2M-IWCR4000M,Q²M Iron WheelCleaner REDEFINED,Q²M Collection,What is it?,Q²M Iron WheelCleaner REDEFINED is a dedicated wheels cleaner & metal contamination remover.,https://gyeon.zendesk.com/hc/en-us/articles/5741262516497-What-is-it,5741262516497
Q2M-RWYA1000M,Q²M RestartWash,Q²M Collection,What is it?,Q²M RestartWash is an effective decontamination shampoo that can dissolve mild iron deposit from any automotive film & paint without the need to clay.,https://gyeon.zendesk.com/hc/en-us/articles/5740924131857-What-is-it,5740924131857
Q2M-PPFW500M,Q²M PPF Wash,Q²M Collection,What is it?,Q²M PPF Wash is an effective decontamination shampoo that can dissolve mild iron deposit from any automotive film & paint without the need to clay.,https://gyeon.zendesk.com/hc/en-us/articles/360004018177-What-is-it,360004018177
Q2M-PPFMR500M,Q²M PPF Maintain REDEFINED,Q²M Collection,What is it?,Q²M PPF Maintain REDEFINED is a silica-based spray sealant designed for PPF and vinyl wraps both glossy or matte.,https://gyeon.zendesk.com/hc/en-us/articles/360003986158-What-is-it,360003986158
